,701_A53T
-2.0,-0.16015689928851634
-1.99,-0.17612369571032166
-1.98,-0.1864818826193569
-1.97,-0.19070486797834574
-1.96,-0.19033930127876492
-1.95,-0.18638124216797836
-1.94,-0.1779980440125491
-1.93,-0.16418784036132927
-1.92,-0.14651682027419943
-1.91,-0.12953302757249735
-1.9,-0.11815614909317501
-1.89,-0.11460051425940287
-1.88,-0.11734695264696882
-1.87,-0.12257728471746318
-1.86,-0.12681456245982173
-1.85,-0.1288181577244777
-1.84,-0.12945436029835022
-1.83,-0.1301824848530818
-1.82,-0.13188452872251297
-1.81,-0.13474348800324104
-1.8,-0.13853317099516768
-1.79,-0.14266490675842514
-1.78,-0.1459056276111137
-1.77,-0.14620343032131958
-1.76,-0.1413831779224223
-1.75,-0.13068589282633494
-1.74,-0.11578420660266833
-1.73,-0.10024378391399402
-1.72,-0.08811928003437536
-1.71,-0.08279629087264334
-1.7,-0.0861424419914979
-1.69,-0.0977155933296252
-1.68,-0.11440195290326749
-1.67,-0.13104283466886382
-1.66,-0.14221174861887664
-1.65,-0.14451839107166764
-1.64,-0.13790366741652893
-1.63,-0.12486267754646771
-1.62,-0.10856612489281248
-1.61,-0.09175981459941349
-1.6,-0.07689547285037068
-1.59,-0.06651653991032169
-1.58,-0.0631029790008451
-1.57,-0.06829508998640177
-1.56,-0.08196920837903368
-1.55,-0.10206047342582916
-1.54,-0.12545209029577095
-1.53,-0.1490077978434223
-1.52,-0.16988555722923393
-1.51,-0.18547255393487427
-1.5,-0.19362588634311467
-1.49,-0.19335803145650404
-1.48,-0.1857609457547203
-1.47,-0.17449672219696138
-1.46,-0.16473210766220886
-1.45,-0.16050902899299424
-1.44,-0.16254939215126052
-1.43,-0.16843367077819904
-1.42,-0.17481905802103198
-1.41,-0.17971154341999784
-1.4,-0.18312814889352153
-1.39,-0.18599090352234837
-1.38,-0.18859494412195588
-1.37,-0.1901450688158523
-1.36,-0.18936012132002517
-1.35,-0.1850990746932638
-1.34,-0.17683764102880595
-1.33,-0.16552204456370384
-1.32,-0.15418084496732826
-1.31,-0.1469303891669855
-1.3,-0.14639397581355013
-1.29,-0.15126699756177572
