IMU Time (s), Acc x, Acc y, Acc z, Ori yaw, Ori pitch, Ori roll, Mag Time (s), Mag x, Mag y, Mag z
0, 0.296875, -0.03692626953125, -0.23388671875, -3.1103515625, 0.80126953125, 0.03173828125, 0, -321, -1034, -2977
0.020616, 0.2373046875, -0.05572509765625, -0.2039794921875, 3.12109375, 0.83203125, -0.02197265625, 0.403879, -678, -967, -3111
0.041233, 0.19183349609375, -0.0902099609375, -0.18414306640625, 3.046875, 0.84912109375, -0.10791015625, 0.807759, -780, -919, -3126
0.06185, 0.1201171875, -0.0816650390625, -0.19256591796875, 3.076171875, 0.92529296875, -0.0869140625, 1.211638, -753, -1000, -3130
0.082467, 0.0982666015625, -0.0556640625, -0.1661376953125, 3.12646484375, 0.908203125, -0.01904296875, 1.615518, -601, -959, -3134
0.103083, 0.09716796875, -0.0570068359375, -0.16119384765625, 3.12353515625, 0.8955078125, -0.02197265625, 2.019398, -187, -1026, -2806
0.1237, 0.0330810546875, -0.02191162109375, -0.16131591796875, -3.099609375, 0.9404296875, 0.056640625, 2.423278, -34, -763, -2604
0.144317, 0.03802490234375, -0.012451171875, -0.160400390625, -3.083984375, 0.9267578125, 0.076171875, 2.827157, -131, -627, -2819
0.164933, -0.02923583984375, -0.021728515625, -0.145263671875, -3.10400390625, 0.9541015625, 0.05224609375, 3.231037, -129, -629, -2835
0.18555, 0.00579833984375, -0.04730224609375, -0.1114501953125, 3.13916015625, 0.88623046875, -0.00244140625, 3.634916, -74, -657, -2719
0.206167, -0.0504150390625, -0.00128173828125, -0.112060546875, -3.07666015625, 0.91845703125, 0.0849609375, 4.038796, -353, -754, -3044
0.226784, -0.06414794921875, -0.01055908203125, -0.14190673828125, -3.091796875, 0.94775390625, 0.06884765625, 4.442676, -45, -891, -2654
0.247401, -0.10186767578125, 0.02264404296875, -0.115478515625, -3.048828125, 0.9365234375, 0.1259765625, 4.846556, -70, -1034, -2691
0.268017, -0.07977294921875, 0.033447265625, -0.083251953125, -3.03076171875, 0.88232421875, 0.134765625, 5.250435, -138, -1148, -2690
0.288634, -0.087646484375, 0.0477294921875, -0.05621337890625, -3.01171875, 0.853515625, 0.1494140625, 5.654315, -260, -1182, -2845
0.309251, -0.11602783203125, 0.028076171875, -0.0478515625, -3.04443359375, 0.85888671875, 0.11279296875, 6.058194, -688, -988, -3129
0.329867, -0.08599853515625, 0.0576171875, -0.04052734375, -2.99755859375, 0.81787109375, 0.1552734375, 6.462074, -846, -886, -3149
0.350484, -0.0081787109375, 0.074951171875, -0.0506591796875, -2.94970703125, 0.75048828125, 0.181640625, 6.865953, -789, -905, -3173
0.371101, -0.052001953125, 0.07171630859375, -0.0513916015625, -2.96728515625, 0.775390625, 0.1728515625, 7.269833, -253, -885, -2933
0.391718, -0.06695556640625, 0.04052734375, -0.02520751953125, -3.01953125, 0.75830078125, 0.1162109375, 7.673713, -19, -820, -2586
0.412334, -0.1072998046875, 0.04669189453125, -0.0245361328125, -3.01806640625, 0.7763671875, 0.1220703125, 8.077591999999999, -129, -778, -2818
0.432951, -0.14208984375, 0.04718017578125, -0.0257568359375, -3.02392578125, 0.79052734375, 0.119140625, 8.481472, -26, -1011, -2468
0.453568, -0.11260986328125, 0.0584716796875, -0.010009765625, -3.00146484375, 0.74267578125, 0.12939453125, 8.885351999999999, -146, -1115, -2727
0.474185, -0.15985107421875, 0.07086181640625, 0.0010986328125, -2.9931640625, 0.75634765625, 0.14111328125, 9.289230999999999, -479, -1024, -3061
0.494801, -0.18316650390625, 0.04595947265625, 0.02056884765625, -3.0341796875, 0.7490234375, 0.10009765625, 9.693111, -673, -958, -3124
0.515418, -0.1451416015625, 0.03570556640625, 0.038818359375, -3.044921875, 0.6943359375, 0.08056640625, 10.09699, -614, -973, -3118
0.536035, -0.1143798828125, 0.01422119140625, 0.04632568359375, -3.07763671875, 0.65087890625, 0.04833984375, 10.50087, -167, -656, -2860
0.556651, -0.07568359375, 0.01043701171875, 0.0267333984375, -3.08251953125, 0.61376953125, 0.04150390625, 10.90475, -302, -625, -2984
0.577268, -0.05303955078125, -0.0050048828125, 0.03216552734375, -3.1142578125, 0.5732421875, 0.017578125, 11.30863, -494, -709, -3132
0.597885, -0.08074951171875, -0.00543212890625, 0.04168701171875, -3.12060546875, 0.5751953125, 0.01318359375, 11.712509, -549, -842, -3145
0.618502, -0.1031494140625, -0.008056640625, 0.06298828125, -3.130859375, 0.56591796875, 0.00634765625, 12.116389, -452, -1061, -3093
0.639118, -0.0479736328125, -0.0255126953125, 0.076171875, 3.107421875, 0.48974609375, -0.017578125, 12.520268, -514, -1181, -3029
0.659735, 0.04083251953125, -0.02520751953125, 0.045166015625, 3.08935546875, 0.39453125, -0.021484375, 12.924148, -772, -1213, -3116
0.680352, 0.04949951171875, 0.00555419921875, 0.0205078125, -3.10546875, 0.37451171875, 0.01416015625, 13.328028, -715, -1204, -3109
0.700969, 0.03411865234375, 0.029296875, 0.01446533203125, -3.0361328125, 0.37255859375, 0.041015625, 13.731907, -765, -1213, -3098
0.721585, -0.0213623046875, 0.0364990234375, 0.02752685546875, -3.03515625, 0.4052734375, 0.0458984375, 14.135787, -759, -1191, -3102
0.742202, -0.04779052734375, 0.00030517578125, 0.0399169921875, 3.1318359375, 0.40625, -0.00341796875, 14.539667, -250, -1148, -2881
0.762819, -0.08453369140625, -0.0555419921875, 0.0728759765625, 2.97216796875, 0.4072265625, -0.0732421875, 14.943546, -186, -1172, -2779
0.783436, -0.11260986328125, -0.0411376953125, 0.105712890625, 3.00537109375, 0.40087890625, -0.0576171875, 15.347426, -300, -1120, -2938
0.804052, -0.0621337890625, -0.02490234375, 0.1016845703125, 3.0166015625, 0.33203125, -0.04296875, 15.751305, -319, -1133, -2926
0.824669, -0.0704345703125, -0.0048828125, 0.0799560546875, 3.068359375, 0.3271484375, -0.0244140625, 16.155185, -292, -1177, -2899
0.845286, -0.0489501953125, -0.02691650390625, 0.1016845703125, 2.95703125, 0.27587890625, -0.05224609375, 16.559065, -336, -1139, -2961
0.8659019999999999, -0.03955078125, -0.005126953125, 0.08880615234375, 3.01416015625, 0.24755859375, -0.03173828125, 16.962945, -325, -1137, -2938
0.8865189999999999, 0.0543212890625, -0.00531005859375, 0.0784912109375, 2.85302734375, 0.12353515625, -0.0361328125, 17.366824, -304, -1182, -2909
0.9071360000000001, 0.07916259765625, -0.0001220703125, 0.05706787109375, 2.693359375, 0.07373046875, -0.03515625, 17.770704, -323, -1144, -2954
0.927753, 0.0274658203125, 0.0037841796875, 0.07525634765625, 2.8349609375, 0.1083984375, -0.03369140625, 18.174583, -431, -1243, -2966
0.948369, 0.02197265625, -0.003662109375, 0.08056640625, 2.669921875, 0.0908203125, -0.0458984375, 18.578463, -557, -1221, -3030
