Time (s), Cell Name, Value
526.7592529999999, C000, 7.117908
7.19427, C001, 16.99051
22.082414, C001, 18.86802
68.94509499999999, C001, 14.79198
101.718995, C001, 13.86382
105.715813, C001, 14.51139
322.443221, C001, 16.12454
355.916565, C001, 14.37157
364.11004, C001, 13.61892
365.908608, C001, 13.04767
534.353211, C001, 6.420006
3183.136112, C001, 7.515304
3211.313662, C001, 20.95866
3213.611831, C001, 9.254148
3216.509523, C001, 8.207684
3219.706975, C001, 17.18556
3225.002756, C001, 8.974558
3375.482863, C001, 15.80555
3382.077609, C001, 7.43202
3484.695849, C001, 7.125909
3484.99561, C001, 14.40778
3488.093142, C001, 15.64335
3495.18749, C001, 18.35005
3513.572842, C001, 8.651076
3516.370613, C001, 8.267553
32.474139, C002, 11.65653
157.474594, C002, 19.34917
532.854403, C002, 11.82795
3176.641287, C002, 14.68822
3228.400049, C002, 8.861809
3422.945048, C002, 8.581514
72.54223, C003, 10.86613
122.602365, C003, 8.955562
192.646585, C003, 11.81601
193.84563, C003, 8.566576
195.644198, C003, 13.13741
199.241333, C003, 14.42696
207.934411, C003, 8.822388
213.030352, C003, 11.34398
251.999319, C003, 9.184367
3208.21613, C003, 16.77818
3387.67315, C003, 21.4627
48.761168, C004, 9.231224
90.328067, C004, 14.97483
97.12265600000001, C004, 8.119331
97.92201900000001, C004, 9.576029
122.802206, C004, 6.801575
376.799934, C004, 10.78849
578.917749, C004, 12.82695
3187.73245, C004, 14.05346
3343.508338, C004, 14.88524
3347.605074, C004, 12.70019
3351.402049, C004, 11.44537
3359.39568, C004, 16.26001
3380.678723, C004, 10.56579
3394.367817, C004, 14.82985
3437.333584, C004, 10.58552
3440.231276, C004, 10.56843
3447.825225, C004, 10.99329
3471.806119, C004, 13.95316
3482.197839, C004, 19.84597
3485.495212, C004, 16.02337
3487.193859, C004, 12.48146
5.495623, C005, 10.63969
36.570876, C005, 10.62646
156.575311, C005, 9.273306
177.35876, C005, 9.48434
195.644198, C005, 9.052021
199.141413, C005, 8.066813
211.131864, C005, 8.101543
337.531206, C005, 7.830821
3199.123375, C005, 10.07471
3466.210577, C005, 6.047831
3496.286614, C005, 6.245326
3552.042192, C005, 8.365774
72.54223, C006, 9.226965
183.154144, C006, 10.5682
213.729795, C006, 7.671468
268.186429, C006, 8.295786
322.14346, C006, 7.044768
