Time (s), Channel Name, Value
0, Digital GPI 0, 0
272.1838, Digital GPI 0, 0
1685.535, Digital GPI 0, 0
1990.8308, Digital GPI 0, 0
0, Digital GPI 1, 0
272.1838, Digital GPI 1, 0
1685.535, Digital GPI 1, 0
1990.8308, Digital GPI 1, 0
0, Digital GPI 2, 0
272.1838, Digital GPI 2, 0
1685.535, Digital GPI 2, 0
1990.8308, Digital GPI 2, 0
0, Digital GPI 3, 0
272.1838, Digital GPI 3, 0
1685.535, Digital GPI 3, 0
1990.8308, Digital GPI 3, 0
0, Digital GPI 4, 0
272.1838, Digital GPI 4, 0
1685.535, Digital GPI 4, 0
1990.8308, Digital GPI 4, 0
0, Digital GPI 5, 0
272.1838, Digital GPI 5, 0
1685.535, Digital GPI 5, 0
1990.8308, Digital GPI 5, 0
0, Digital GPI 6, 0
272.1838, Digital GPI 6, 0
1685.535, Digital GPI 6, 0
1990.8308, Digital GPI 6, 0
0, Digital GPI 7, 0
272.1838, Digital GPI 7, 0
1685.535, Digital GPI 7, 0
1990.8308, Digital GPI 7, 0
0, Digital GPO 0, 0
272.1838, Digital GPO 0, 0
1685.535, Digital GPO 0, 0
1990.8308, Digital GPO 0, 0
0, Digital GPO 1, 0
272.1838, Digital GPO 1, 0
1685.535, Digital GPO 1, 0
1990.8308, Digital GPO 1, 0
0, Digital GPO 2, 0
272.1838, Digital GPO 2, 0
1685.535, Digital GPO 2, 0
1990.8308, Digital GPO 2, 0
0, Digital GPO 3, 0
272.1838, Digital GPO 3, 0
1685.535, Digital GPO 3, 0
1990.8308, Digital GPO 3, 0
0, Digital GPO 4, 0
272.1838, Digital GPO 4, 0
1685.535, Digital GPO 4, 0
1990.8308, Digital GPO 4, 0
0, Digital GPO 5, 0
272.1838, Digital GPO 5, 0
1685.535, Digital GPO 5, 0
1990.8308, Digital GPO 5, 0
0, Digital GPO 6, 0
272.1838, Digital GPO 6, 0
1685.535, Digital GPO 6, 0
1990.8308, Digital GPO 6, 0
0, Digital GPO 7, 0
272.1838, Digital GPO 7, 0
1685.535, Digital GPO 7, 0
1990.8308, Digital GPO 7, 0
0, GPIO-1, 480
0.015, GPIO-1, 496
0.0152, GPIO-1, 480
0.0554, GPIO-1, 496
0.0558, GPIO-1, 480
0.07000000000000001, GPIO-1, 496
0.0702, GPIO-1, 480
0.1314, GPIO-1, 496
0.1316, GPIO-1, 480
0.1588, GPIO-1, 496
0.159, GPIO-1, 480
0.194, GPIO-1, 496
0.1942, GPIO-1, 480
0.2426, GPIO-1, 496
0.2428, GPIO-1, 480
0.2638, GPIO-1, 496
0.264, GPIO-1, 480
0.3382, GPIO-1, 496
0.3384, GPIO-1, 480
0.387, GPIO-1, 496
0.3872, GPIO-1, 480
0.4128, GPIO-1, 496
0.413, GPIO-1, 480
0.4226, GPIO-1, 496
0.4228, GPIO-1, 480
0.4348, GPIO-1, 496
0.435, GPIO-1, 480
0.5376, GPIO-1, 496
0.5377999999999999, GPIO-1, 480
0.5392, GPIO-1, 496
0.5394, GPIO-1, 480
0.5758, GPIO-1, 496
0.576, GPIO-1, 480
0.5894, GPIO-1, 496
0.5896, GPIO-1, 480
0.6338, GPIO-1, 496
0.634, GPIO-1, 480
0.6708, GPIO-1, 496
0.671, GPIO-1, 480
0.6714, GPIO-1, 496
0.6716, GPIO-1, 480
0.7838000000000001, GPIO-1, 496
0.784, GPIO-1, 480
0.7952, GPIO-1, 496
0.7954, GPIO-1, 480
0.8742, GPIO-1, 496
0.8744, GPIO-1, 480
0.907, GPIO-1, 496
0.9072, GPIO-1, 480
0.9518, GPIO-1, 496
0.952, GPIO-1, 480
0.9836, GPIO-1, 496
0.9838, GPIO-1, 480
1.0198, GPIO-1, 496
1.02, GPIO-1, 480
1.0316, GPIO-1, 496
1.0318, GPIO-1, 480
1.0528, GPIO-1, 496
1.053, GPIO-1, 480
1.0888, GPIO-1, 496
1.089, GPIO-1, 480
1.1178, GPIO-1, 496
1.118, GPIO-1, 480
1.124, GPIO-1, 496
