Time (s), Channel Name, Value
0, Digital GPI 0, 0
386.7678, Digital GPI 0, 0
515.809, Digital GPI 0, 0
579.6968000000001, Digital GPI 0, 0
3164.486, Digital GPI 0, 0
3562.5898, Digital GPI 0, 0
0, Digital GPI 1, 0
386.7678, Digital GPI 1, 0
515.809, Digital GPI 1, 0
579.6968000000001, Digital GPI 1, 0
3164.486, Digital GPI 1, 0
3562.5898, Digital GPI 1, 0
0, Digital GPI 2, 0
386.7678, Digital GPI 2, 0
515.809, Digital GPI 2, 0
579.6968000000001, Digital GPI 2, 0
3164.486, Digital GPI 2, 0
3562.5898, Digital GPI 2, 0
0, Digital GPI 3, 0
386.7678, Digital GPI 3, 0
515.809, Digital GPI 3, 0
579.6968000000001, Digital GPI 3, 0
3164.486, Digital GPI 3, 0
3562.5898, Digital GPI 3, 0
0, Digital GPI 4, 0
386.7678, Digital GPI 4, 0
515.809, Digital GPI 4, 0
579.6968000000001, Digital GPI 4, 0
3164.486, Digital GPI 4, 0
3562.5898, Digital GPI 4, 0
0, Digital GPI 5, 0
386.7678, Digital GPI 5, 0
515.809, Digital GPI 5, 0
579.6968000000001, Digital GPI 5, 0
3164.486, Digital GPI 5, 0
3562.5898, Digital GPI 5, 0
0, Digital GPI 6, 0
386.7678, Digital GPI 6, 0
515.809, Digital GPI 6, 0
579.6968000000001, Digital GPI 6, 0
3164.486, Digital GPI 6, 0
3562.5898, Digital GPI 6, 0
0, Digital GPI 7, 0
386.7678, Digital GPI 7, 0
515.809, Digital GPI 7, 0
579.6968000000001, Digital GPI 7, 0
3164.486, Digital GPI 7, 0
3562.5898, Digital GPI 7, 0
0, Digital GPO 0, 0
386.7678, Digital GPO 0, 0
515.809, Digital GPO 0, 0
579.6968000000001, Digital GPO 0, 0
3164.486, Digital GPO 0, 0
3562.5898, Digital GPO 0, 0
0, Digital GPO 1, 0
386.7678, Digital GPO 1, 0
515.809, Digital GPO 1, 0
579.6968000000001, Digital GPO 1, 0
3164.486, Digital GPO 1, 0
3562.5898, Digital GPO 1, 0
0, Digital GPO 2, 0
386.7678, Digital GPO 2, 0
515.809, Digital GPO 2, 0
579.6968000000001, Digital GPO 2, 0
3164.486, Digital GPO 2, 0
3562.5898, Digital GPO 2, 0
0, Digital GPO 3, 0
386.7678, Digital GPO 3, 0
515.809, Digital GPO 3, 0
579.6968000000001, Digital GPO 3, 0
3164.486, Digital GPO 3, 0
3562.5898, Digital GPO 3, 0
0, Digital GPO 4, 0
386.7678, Digital GPO 4, 0
515.809, Digital GPO 4, 0
579.6968000000001, Digital GPO 4, 0
3164.486, Digital GPO 4, 0
3562.5898, Digital GPO 4, 0
0, Digital GPO 5, 0
386.7678, Digital GPO 5, 0
515.809, Digital GPO 5, 0
579.6968000000001, Digital GPO 5, 0
3164.486, Digital GPO 5, 0
3562.5898, Digital GPO 5, 0
0, Digital GPO 6, 0
386.7678, Digital GPO 6, 0
515.809, Digital GPO 6, 0
