Time (s), Cell Name, Value
18.585147, C000, 8.161932
100.219909, C000, 15.20599
101.319031, C000, 31.48187
107.114399, C000, 31.89791
108.813042, C000, 16.8242
110.211924, C000, 18.8968
384.592653, C000, 21.47219
712.730422, C000, 33.25486
913.969602, C000, 14.7936
967.826562, C000, 21.11746
977.318976, C000, 8.525969
1007.794621, C000, 12.1053
208.63327, C001, 17.10691
220.923449, C001, 13.24795
234.212829, C001, 15.81281
250.699653, C001, 27.85297
279.376736, C001, 27.55104
483.61352, C001, 12.18155
491.906893, C001, 15.48375
530.775831, C001, 14.41303
535.472078, C001, 20.70663
540.268245, C001, 19.01225
552.8581830000001, C001, 25.06401
764.189298, C001, 16.14834
771.083789, C001, 24.27184
773.581792, C001, 14.27211
785.1725300000001, C001, 18.95537
0.39968, C002, 18.05938
119.804258, C002, 7.17273
146.682778, C002, 19.26417
201.73878, C002, 17.82216
211.131274, C002, 9.207993
231.015384, C002, 15.56193
319.045035, C002, 20.48043
324.140963, C002, 18.96272
328.137769, C002, 8.5516
418.965184, C002, 11.01458
426.858876, C002, 9.049946
443.945221, C002, 8.277014
449.340909, C002, 18.90236
641.087675, C002, 7.219619
693.146073, C002, 29.99787
872.60266, C002, 13.48827
873.302101, C002, 11.2291
877.298907, C002, 19.09855
980.416501, C002, 16.41174
1056.555654, C002, 10.25545
229.016981, C003, 13.90046
233.213627, C003, 7.996765
275.879531, C003, 21.76968
300.659728, C003, 9.663033
356.814851, C003, 43.87246
377.498322, C003, 12.45926
383.09385, C003, 7.596196
404.676603, C003, 10.67626
435.452008, C003, 10.145
441.047537, C003, 11.04796
470.32414, C003, 8.509464
523.58158, C003, 20.91228
537.37056, C003, 21.91087
712.830342, C003, 8.784425
741.807185, C003, 8.305455
101.618791, C004, 16.24978
173.960979, C004, 6.598123
263.889113, C004, 6.864238
288.66931, C004, 7.617065
372.002714, C004, 7.362078
429.157039, C004, 7.636425
439.149054, C004, 6.911865
493.405695, C004, 17.15525
561.751077, C004, 19.44057
567.246685, C004, 16.40518
572.542453, C004, 18.29914
652.378652, C004, 17.21772
661.071705, C004, 8.506057
693.345913, C004, 14.66142
711.43146, C004, 19.39347
714.928665, C004, 17.47779
788.5698149999999, C004, 7.10465
871.2037780000001, C004, 12.36038
880.096671, C004, 21.90782
1042.866594, C004, 12.56054
1063.550065, C004, 22.64506
1070.044874, C004, 19.62443
2.997604, C005, 14.14428
32.474048, C005, 8.8169
65.147937, C005, 18.76794
117.006494, C005, 8.874505
211.131274, C005, 8.494977
213.729198, C005, 8.672846
220.723608, C005, 7.71091
226.618897, C005, 10.67461
231.315144, C005, 9.982122
316.047431, C005, 8.945355
358.613414, C005, 13.81984
391.087462, C005, 9.444838
450.939632, C005, 8.963734
593.8254449999999, C005, 16.64023
605.3162620000001, C005, 7.700058
643.685599, C005, 11.45161
649.880648, C005, 20.66289
657.174819, C005, 7.797772
660.472184, C005, 19.92774
693.845514, C005, 9.974274
772.882351, C005, 8.353848
838.729729, C005, 20.59352
891.387648, C005, 10.2
906.07591, C005, 9.138744
908.7737540000001, C005, 14.68602
999.80101, C005, 10.73366
1001.899333, C005, 18.22569
1034.872982, C005, 8.299998
1140.388659, C005, 8.187517
28.477242, C006, 9.858295
39.968059, C006, 11.34506
40.76742, C006, 11.2265
49.360553, C006, 10.59326
52.757838, C006, 12.67509
57.454085, C006, 9.796179
106.814639, C006, 16.08527
168.665211, C006, 8.447214
175.359861, C006, 12.63472
179.456587, C006, 11.20507
213.829118, C006, 11.58251
229.016981, C006, 8.443588
233.613308, C006, 9.84173
247.502208, C006, 9.205987
267.686078, C006, 8.022003
