Time (s), Cell Name, Value
1863.48761, C000, 63.3572
1864.68665, C000, 74.79691
1892.564345, C000, 69.22798
1907.052752, C000, 93.59829
1908.051953, C000, 14.58997
40.167881, C001, 50.32629
50.559571, C001, 6.459826
179.456504, C001, 6.467029
1693.423684, C001, 45.79557
1851.796964, C001, 27.39217
1857.292567, C001, 25.82941
1923.33972, C001, 52.52929
1974.298946, C001, 31.73532
1984.990392, C001, 50.19104
136.99046, C002, 11.62032
160.271844, C002, 10.40879
238.609204, C002, 40.76249
1840.805758, C002, 10.12232
1845.0024, C002, 56.5927
1911.449234, C002, 9.153274
72.641914, C003, 6.744739
80.23584200000001, C003, 16.99487
1687.42848, C003, 14.13066
1770.861723, C003, 18.56265
1786.649091, C003, 15.28539
1790.545973, C003, 13.93663
1801.737019, C003, 17.69836
1813.727425, C003, 20.97287
1842.604319, C003, 16.16556
1850.098323, C003, 15.16415
1858.291767, C003, 22.87961
1860.290168, C003, 16.47022
1939.626689, C003, 35.02621
1982.892071, C003, 16.91011
1985.989592, C003, 26.72201
9.89209, C004, 11.73334
16.486816, C004, 31.55791
165.167929, C004, 8.366596
169.264653, C004, 7.353982
176.35898, C004, 19.76668
180.455705, C004, 24.38062
1685.82976, C004, 18.43179
1712.408493, C004, 10.98875
1746.48123, C004, 12.57759
1813.627505, C004, 21.98753
1816.125506, C004, 9.853083
1821.820949, C004, 26.47383
1900.058348, C004, 12.41922
1923.13988, C004, 14.88683
1935.729807, C004, 18.64825
1950.817734, C004, 9.051809
40.967242, C005, 6.844662
99.520422, C005, 16.74153
107.51403, C005, 13.35333
1690.226242, C005, 26.78543
1857.492407, C005, 15.49146
1888.467623, C005, 10.57073
1958.211818, C005, 11.11133
1965.106301, C005, 33.4706
1977.396468, C005, 8.388403
25.679466, C006, 11.13618
1741.585148, C006, 9.130488
1901.257389, C006, 27.38677
1919.542758, C006, 10.81384
22.581943, C007, 27.15128
64.14870500000001, C007, 9.070693
89.028811, C007, 17.51702
145.683509, C007, 11.47251
245.104011, C007, 10.16114
1781.053568, C007, 16.8677
1894.862506, C007, 12.62516
1950.617894, C007, 15.24851
1976.597107, C007, 13.43208
25.779386, C008, 13.3474
77.338159, C008, 10.70481
132.194295, C008, 11.4757
141.586785, C008, 15.21729
149.780233, C008, 17.0498
175.459699, C008, 10.71734
218.924944, C008, 16.9448
1701.217447, C008, 10.802
1716.804975, C008, 9.974777
1757.472436, C008, 12.3348
1759.270997, C008, 11.83356
1761.669078, C008, 11.13443
1823.51959, C008, 18.95211
1855.893686, C008, 15.70339
1885.170261, C008, 16.08496
1909.950433, C008, 18.14218
1936.029567, C008, 9.665327
1957.612298, C008, 10.61913
1961.70902, C008, 21.04557
96.422898, C009, 15.82368
105.615548, C009, 12.74273
119.304602, C009, 13.97616
145.783429, C009, 12.22862
179.056823, C009, 15.10478
198.940923, C009, 26.41224
271.382998, C009, 22.23962
1778.055966, C009, 10.73537
1856.093526, C009, 16.42907
1867.184652, C009, 13.21505
1892.864105, C009, 11.22991
1931.033564, C009, 27.15119
1957.312538, C009, 23.42066
161.770645, C010, 13.32904
192.246277, C010, 13.56662
1698.619526, C010, 8.865209
1936.329327, C010, 10.22572
1.398881, C011, 8.740979
144.284627, C011, 13.52635
1757.572356, C011, 17.25004
1776.357326, C011, 15.7785
1778.455647, C011, 11.48783
1868.983213, C011, 8.241801
1873.179855, C011, 8.201904
1970.701824, C011, 15.05863
0.4996, C012, 10.08043
1961.20942, C012, 10.83641
1968.603503, C012, 13.70072
8.193448, C013, 15.97818
82.733844, C013, 7.3205
1716.205455, C013, 15.32352
1824.81855, C013, 12.98796
1849.398883, C013, 7.96837
1941.325329, C013, 9.174858
1827.616312, C014, 9.705551
1828.215832, C014, 14.13731
1834.011195, C014, 7.85101
1862.78817, C014, 16.06247
1869.282973, C014, 8.199259
1879.374898, C014, 8.989876
15.387695, C015, 7.212851
